"FilingID","Full Legal Name","CIK Number"
"823700","MIZUHO FINANCIAL GROUP","1335730"
"829148","ALLEGHANY CORPORATION","775368"
"829274","PRUDENTIAL PLC","1116578"
"823455","SWISS RE LIMITED","1519921"
"827977","ARES MANAGEMENT, L.P.","1176948"
"815503","NOMURA HOLDINGS, INC.","1163653"
"832797","NOMURA HOLDINGS, INC.","1163653"
"834372","MORGAN STANLEY","895421"
"833466","JONES LANG LASALLE INCORPORATED","1037956"
"835658","HSBC HOLDINGS PLC","1089113"
"835680","BANK OF MONTREAL","927971"
"835859","AFFILIATED MANAGERS GROUP, INC.","1004434"
"835408","GLEACHER & COMPANY, INC.","782842"
"828627","THE CARLYLE GROUP L.P.","1527166"
"835631","JPMORGAN CHASE & CO.","19517"
"837131","NOMURA HOLDINGS, INC.","1163653"
"837315","N/A","161437"
"830054","BLACKROCK, INC.","1364742"
"827815","HAITONG SECURITIES CO., LTD","155347"
"840194","JPMORGAN CHASE & CO.","19617"
"840327","JPMORGAN CHASE & CO.","19617"
"842321","DEUTSCHE BANK AG","948046"
"841371","SAFEGUARD SCIENTIFCS, INC.","86115"
"832399","BROOKFIELD ASSET MANAGEMENT INC.","10010085"
"842993","BROOKFIELD ASSET MANAGEMENT INC.","10010085"
"831141","FRANKLIN RESOURCES, INC.","38777"
"842352","DEUTSCHE BANK AG","948046"
"845893","JONES LANG LASALLE INCORPORATED","1037956"
"844373","DEUTSCHE BANK AG","948046"
"830029","BLACKROCK, INC.","1364742"
"847292","BLACKROCK, INC.","1364742"
"847075","HSBC HOLDINGS PLC","1089113"
"850252","BLACKROCK, INC.","1364742"
"850254","BLACKROCK, INC.","1364742"
"847294","BLACKROCK, INC.","1364742"
"852823","MORGAN STANLEY","895421"
"852885","MORGAN STANLEY","895421"
"854829","RESOURCE AMERICA, INC.","83402"
"851628","HSBC HOLDINGS PLC","1089113"
"855432","AFFILIATED MANAGERS GROUP INC","1004434"
"859671","NATIONAL WESTMINSTER BANK PLC","702162"
"859671","THE ROYAL BANK OF SCOTLAND GROUP","844150"
"845516","FRANKLIN RESOURCES, INC.","38777"
"861755","DEUTSCHE BANK AG","948046"
"861822","AFFILILATED MANAGERS GROUP INC","1004434"
"861724","DEUTSCHE BANK AG","948046"
"870357","HSBC HOLDINGS PLC","1089113"
"870648","BANK OF MONTREAL","927971"
"869860","SUMITOMO MITSUI TRUST HOLDINGS, INC.","1475365"
"871917","MORGAN STANLEY","895421"
"864425","BROOKFIELD ASSET  MANAGEMENT (A)","1001085"
"872108","MORGAN STANLEY","895421"
"870028","FRANKLIN RESOURCES, INC.","38777"
"872762","FRANKLIN RESOURCES, INC.","38777"
"868522","UNITED OVERSEAS BANK LIMITED","867530"
"875307","AFFILILATED MANAGERS GROUP INC","1004434"
"868225","MARKEL CORPORATION","1096343"
"877186","BARCLAYS PLC","312069"
"872110","BANK OF MONTREAL","927971"
"873583","GABELLI SECURITIES, INC.","932724"
"875651","DEUTSCHE BANK AG","948046"
"879104","RESOURCE AMERICA, INC.","83402"
"863398","BLACKROCK, INC.","1364742"
"863401","BLACKROCK, INC.","1364742"
"878513","HAITONG SECURITIES CO., LTD","155347"
"885203","NOMURA HOLDINGS INC","1163653"
"888922","HSBC HOLDINGS PLC","1089113"
"888625","GLEACHER & COMPANY, INC.","782842"
"883712","MORGAN STANLEY","895421"
