"FilingID","ReferenceID","Private Fund Name","Fund ID"
1042336,39284,"PIPE EQUITY INVESTORS, LTD",805-5356808552
1042336,39311,"HUMBER VIEW LTD (LIQUIDATION)",805-5638888013
1042336,39245,"PIPE SELECT OFFSHORE FUND, LTD (LIQUIDATION)",805-8193955487
1042336,36228,"WARRANT STRATEGIES OFFSHORE FUND, LTD",805-2388491093
1039447,34406,"DCP FFI, L.P.",805-8276559403
1038929,167248,"ROC ASIA PACIFIC PRIVATE EQUITY FUND III A L.P.",805-9372553252
1038929,167248,"ROC ASIA PACIFIC PRIVATE EQUITY FUND III B L.P.",805-1329122595
1038929,120448,"ROC ASIA PACIFIC PRIVATE EQUITY OFFSHORE FUND II, LP",805-8534091796
1038929,120449,"ROC ASIA PACIFIC CO-INVESTMENT OFFSHORE FUND, LP",805-5347507975
1043094,174019,"SCIENS GROUP ALTERNATIVE STRATEGIES PCC LIMITED - SCARLET OMEGA CELL",805-9345894176
1043094,174012,"SCIENS GROUP ALTERNATIVE STRATEGIES LLC - LAVENDER ALPHA SERIES",805-9633597619
1043094,174310,"SCIENS GROUP ALTERNATIVE STRATEGIES LLC - SILVER GAMMA SERIES",805-2127923891
1043094,174310,"SCIENS GROUP ALTERNATIVE STRATEGIES PCC LIMITED - SILVER GAMMA CELL",805-8053705743
1043094,69711,"SCIENS GROUP ALTERNATIVE STRATEGIES PCC LIMITED - FLOWPOINT CAPITAL PARTNERS CELL",805-2947656629
1043094,174265,"SCIENS GROUP ALTERNATIVE STRATEGIES PCC LIMITED - PEARL VEGA CELL",805-6531353028
1043094,174189,"SCIENS GROUP ALTERNATIVE STRATEGIES PCC LIMITED  - BLUE DIAMOND CELL",805-4086159940
1043094,174154,"SCIENS GROUP ALTERNATIVE STRATEGIES PCC LIMITED - AMBER EPSILON CELL",805-1349856895
1043094,60506,"SCIENS GROUP ALTERNATIVE STRATEGIES PCC LIMITED - CORAL DELTA CELL",805-4602134886
1043094,174279,"SCIENS GROUP ALTERNATIVE STRATEGIES PCC LIMITED - ROSE OMEGA CELL",805-8166684362
1043094,69711,"SCIENS GROUP ALTERNATIVE STRATEGIES LLC - FLOWPOINT CAPITAL PARTNERS SERIES",805-6146515423
1032662,178861,"COMPLUS ASIA MACRO FUND LTD",805-7779244579
1038715,173713,"BLUE SKY WATER FUND CAYMAN FEEDER",805-6196534532
1038715,173713,"BLUE SKY WATER FUND LP",805-6275538468
1043200,179575,"EUR FEEDER VERDANE CAPITAL VIII K/S",805-8195131098
1024279,178193,"SANTÉ CAPITAL OFFSHORE FUND, LTD.",805-6621006274
1024279,178193,"SANTÉ CAPITAL FUND, LP",805-4388326241
1039523,34406,"DCP FFI, L.P.",805-8276559403
1040835,58420,"WEST FACE ALTERNATIVE CREDIT USA L.P.",805-4387776991
1040835,17940,"WEST FACE CREDIT OPPORTUNITIES (CAYMAN) L.P.",805-2846252179
1040835,17940,"WEST FACE CREDIT OPPORTUNITIES (USA) L.P.",805-4362463594
1040835,17011,"WEST FACE LONG TERM OPPORTUNITIES MASTER FUND L.P.",805-2305180186
1040835,17011,"WEST FACE LONG TERM OPPORTUNITIES (USA) LIMITED PARTNERSHIP",805-8980590969
1040835,58420,"WEST FACE ALTERNATIVE CREDIT CAYMAN L.P.",805-4157335568
1036812,177576,"MARSHALL WACE MANAGED ACCOUNTS PLC - MW WORLD TOPS 130/30 FUND",805-5281650766
1036812,177574,"MARSHALL WACE FUNDS PLC - MW TOPS CHINA EQUITIES FUND",805-4895711992
1036812,177731,"MARSHALL WACE FUNDS PLC - MW LIQUID ALPHA PLUS FUND",805-4961045014
1036812,177731,"MARSHALL WACE FUNDS LP - MW LIQUID ALPHA PLUS (US) FUND",805-8682401132
1036812,177676,"MARSHALL WACE FUNDS PLC - MW HELIUM FUND",805-4870180402
1036812,35256,"MARSHALL WACE MANAGED ACCOUNTS PLC - MW EUREKA FUND IV",805-4920737213
1036812,35256,"MARSHALL WACE MANAGED ACCOUNTS PLC - MW EUREKA SRI FUND",805-1566554000
1036812,64347,"MARSHALL WACE LONG STRATEGIES ICAV - MW TOPS WORLD EQUITIES FUND",805-7184637065
1036812,177676,"MARSHALL WACE FUNDS LP - MW HELIUM (US) FUND",805-6242813930
1036812,177672,"MARSHALL WACE FUNDS LP - MW TOPS WORLD EX-US (US) FUND",805-1344066300
1036812,54183,"MARSHALL WACE MANAGED ACCOUNTS PLC - MW TOPS INTERNATIONAL EQUITIES FUND II",805-6179913507
1036812,168079,"MARSHALL WACE FUNDS PLC - MW EUROPA LONG-ONLY FUND",805-6324206540
1036812,34858,"MARSHALL WACE FUNDS PLC - MW TOPS ERISA FUND",805-4664422577
1036812,35256,"MARSHALL WACE MANAGED ACCOUNTS PLC - MW EUREKA FUND III",805-1841630540
1036812,35256,"MARSHALL WACE FUNDS LP - MW EUREKA (US) FUND II",805-5287498910
1036812,35294,"MARSHALL WACE MANAGED ACCOUNTS PLC - MW EUROPA FUND II",805-1858853797
1036812,35456,"MARSHALL WACE FUNDS LP - MW MARKET NEUTRAL TOPS (US) FUND",805-6328654416
1036812,34858,"MARSHALL WACE FUNDS LP - MW TOPS (US) FUND",805-1323343128
