"FilingID","ReferenceID","SubreferenceID","Private Fund Name","Fund ID","State","Country","3(c)(1) Exclusion","3(c)(7) Exclusion"
"892960","29193","5319","DLJ SAP DOMESTIC LLC","805-4081566032","Delaware","United States","Y","N"
"892960","29193","5320","DLJ SAP INTERNATIONAL LLC","805-2762908187","Delaware","United States","Y","N"
"898288","53987","10594","SERENITAS CREDIT GAMMA OFFSHORE FUND, LTD.","805-9255423793","","Cayman Islands","Y","Y"
"898288","53987","10595","SERENITAS CREDIT GAMMA FUND, LLC","805-4150487849","Delaware","United States","Y","Y"
"894184","65759","13429","ESDF V, LP","805-1572979588","","Cayman Islands","N","Y"
"893821","43411","7849","ESDF IV LLC","805-2254461869","Delaware","United States","N","Y"
"893821","43411","7850","ESDF IV, LP","805-4635622514","","Cayman Islands","N","Y"
"898136","47918","10892","MARCH ALTUS FUND LTD","805-4859431721","","Cayman Islands","N","Y"
"898136","47918","10891","MARCH ALTUS FUND LP","805-9708088433","Delaware","United States","N","Y"
"898195","34814","12575","ECP IV MANAGEMENT HOLDINGS, L.P.","805-5361666487","Delaware","United States","Y","Y"
"898195","34814","6449","ENERTECH CAPITAL PARTNERS IV ALBERTA FEEDER, L.P.","805-9524904631","Delaware","United States","Y","Y"
"892587","71384","21364","CAPITAL Z ACCESS FUND, LTD.","805-9275592609","","Cayman Islands","N","Y"
"888107","57335","11432","TOR ASIA CREDIT FUND LP","805-8792813211","Delaware","United States","N","Y"
"888107","57335","11431","TOR ASIA CREDIT FUND","805-9404423247","","Cayman Islands","N","Y"
"897507","61228","12390","SINFONIETTA L.P.","805-3169773170","","Cayman Islands","N","Y"
"897507","61228","12386","SINFONIETTA","805-7918191974","","Cayman Islands","N","Y"
"897507","61246","12393","THE SFP VALUE REALIZATION FUND LTD.","805-9155121117","","Cayman Islands","N","Y"
"897507","61246","12392","THE SFP VALUE REALIZATION FUND L.P.","805-2748853792","Delaware","United States","N","Y"
"886000","29364","5348","SEGULAH IV F&F, L.P.","805-4966870190","","United Kingdom","N","Y"
"898019","47734","8730","TALISMAN REALTY CAPITAL OFFSHORE, L.P.","805-9316404859","","Cayman Islands","N","Y"
"898019","47734","8729","TALISMAN REALTY CAPITAL, L.P.","805-7966130187","Delaware","United States","N","Y"
"882508","46705","8456","YA GLOBAL INVESTMENTS II (U.S.), LP","805-7285741355","Delaware","United States","N","Y"
"882508","46705","8458","YA OFFSHORE GLOBAL INVESTMENTS II, LTD","805-2786886291","","Cayman Islands","N","Y"
"882508","46705","8457","YA GLOBAL INVESTMETNS II INTERMEDIATE FUND, LTD","805-7096030860","","Cayman Islands","N","Y"
"898753","3212","1355","YA OFFSHORE GLOBAL INVESTMENTS, LTD","805-6711284041","","Cayman Islands","N","Y"
"898753","3212","1354","YA GLOBAL INVESTMENTS (U.S.), LP","805-5337913118","Delaware","United States","N","Y"
"898813","65112","13326","JIVE NPL OPPORTUNITY FUND (B), LP","805-1577395198","","Cayman Islands","N","Y"
"893916","17542","4783","FH EMERGING MARKETS DEBT FUND ONSHORE, LP","805-4263880261","Delaware","United States","N","Y"
"893916","17542","4782","FH EMERGING MARKETS DEBT FUND OFFSHORE, LTD","805-9925010842","","Cayman Islands","N","Y"
"897562","30120","5468","TREVI OFFSHORE FAMILIES II LIMITED","805-6911026989","","Cayman Islands","N","Y"
"897562","30085","5461","TREVI OFFSHORE FAMILIES LIMITED","805-3776036203","","Cayman Islands","N","Y"
"888373","44680","13470","PVAM PERLUS FEEDER LIMITED","805-2096893319","","Jersey","Y","N"
"888373","44680","13471","PVAM PERLUS FEEDER L.P.","805-7298621806","","Jersey","Y","N"
"895142","57360","11439","FARRINGDON ALPHA ONE USD","805-9187678530","","Cayman Islands","Y","Y"
"895745","27061","4964","ATTESTOR VALUE FUND LIMITED","805-7908095557","","Cayman Islands","N","Y"
"895745","27061","4963","ATTESTOR VALUE FUND LP","805-2776656440","Delaware","United States","N","Y"
"898444","39708","7261","BLACK HORSE CAPITAL OFFSHORE LTD","805-2794771395","","Cayman Islands","Y","N"
"889090","24960","4623","ELMROCK OPPORTUNITY FUND I, LTD.","805-7822900202","","Cayman Islands","N","Y"
"889090","24960","4620","ELMROCK OPPORTUNITY FUND I, LP","805-5075441642","Delaware","United States","N","Y"
"865326","18899","10251","FUND 8650","805-9630568650","Delaware","United States","Y","N"
"865326","18929","10250","FUND 2249","805-8757242249","Delaware","United States","Y","N"
"865326","18909","10252","FUND 0562","805-1873690562","Delaware","United States","Y","N"
"899427","3212","1355","YA OFFSHORE GLOBAL INVESTMENTS, LTD","805-6711284041","","Cayman Islands","N","Y"
"899427","3212","1354","YA GLOBAL INVESTMENTS (U.S.), LP","805-5337913118","Delaware","United States","N","Y"
"878422","3217","8840","AISLING INVESTORS LP","805-5852439768","Delaware","United States","N","Y"
"878422","3228","8841","AISLING INVESTORS III LP","805-2826418585","Delaware","United States","N","Y"
