"FilingID","Full Legal Name","CIK Number"
"1012958","PRUDENTIAL PLC","1116578"
"1011781","RCS CAPITAL CORP","1568832"
"1013154","WELLS FARGO & COMPANY","72971"
"1013173","LAZARD LTD","1311370"
"1013173","LAZARD GROUP LLC","1326141"
"1013375","STIFEL FINANCIAL CORP.","720672"
"1013337","THE GOLDMAN SACHS GROUP,INC.","886982"
"1011408","EATON VANCE CORP.","350797"
"1012542","COWEN GROUP, INC.","1466538"
"1013116","FORTRESS INVESTMENT GROUP LLC","1380393"
"1013874","THE BLACKSTONE GROUP L.P.","1393818"
"1013885","DEUTSCHE BANK AG","948046"
"1013890","THE BLACKSTONE GROUP L.P.","1393818"
"1013903","BANCO BRADESCO S.A.","1160330"
"1013912","THE BLACKSTONE GROUP L.P.","1393818"
"1013920","THE BLACKSTONE GROUP L.P.","1393818"
"1014011","CREDIT SUISSE (USA), INC.","29646"
"1014036","UMB FINANCIAL CORP","101382"
"1014038","UMB FINANCIAL CORP","101382"
"1014040","PRUDENTIAL PLC","1116578"
"1012194","CREDIT SUISSE GROUP AG","1159510"
"1013877","PRINCIPAL FINANCIAL GROUP, INC.","1126328"
"1014130","THE GOLDMAN SACHS GROUP,INC.","886982"
"1014486","THE BANK OF NEW YORK MELLON CORPORATION","1390777"
"1010112","VALLEY NATIONAL BANCORP","714310"
"1014688","ROYAL BANK OF CANADA","1000275"
"1014753","LADENBURG THALMANN FINANCIAL SERVICES INC.","1029730"
"1014924","XL GROUP PLC","875159"
"1014927","ROYAL BANK OF CANADA","1000275"
"1015007","SIGNATURE BANK","5703"
"1015129","INVESCO LTD.","914208"
"1014823","THE BLACKSTONE GROUP L.P.","1393818"
"1015478","M&T BANK CORPORATION","36270"
"1012291","VOYA FINANCIAL, INC.","1535929"
"1015778","LEGG MASON, INC.","704051"
"1015749","NORTHWEST BANCSHARES, INC.","147126"
"1013889","PRINCIPAL FINANCIAL GROUP INC","1126328"
"1015620","AFFILIATED MANAGERS GROUP, INC.","1004434"
"1011834","UBS GROUP AG","1610520"
"1015971","UMB FINANCIAL CORPORATION","101382"
"1015929","VOYA FINANCIAL, INC.","1535929"
"1010657","LEGG MASON INC","704051"
"1016077","BNP PARIBAS S.A.","872786"
"1016142","CBIZ INC","944148"
"1016182","PRUDENTIAL PLC","1116578"
"1016308","ROYAL BANK OF CANADA","1000275"
"1016323","HORACE MANN EDUCATORS CORPORATION","850141"
"1016123","OCH-ZIFF CAPITAL MANAGEMENT GROUP LLC","1403256"
"1016424","LINCOLN NATIONAL CORPORATION","59558"
"1016426","FIFTH THIRD BANCORP","35527"
"1016428","LINCOLN NATIONAL CORPORATION","59558"
"1013552","FRANKLIN RESOURCES, INC.","38777"
"1015871","COWEN GROUP, INC.","1466538"
"1016798","VOYA FINANCIAL, INC.","1535929"
"1016814","CNO FINANCIAL GROUP, INC.","122460"
"1015852","AFFILIATED MANAGERS GROUP, INC.","1004434"
"1016955","NATIONAL HOLDINGS CORPORATION","1023844"
"1016958","T ROWE PRICE GROUP INC","1113169"
"1016982","BANK OF MONTREAL","927971"
"1016989","BANK OF MONTREAL","927971"
"1016993","BANK OF MONTREAL","927971"
"1017019","THE BANK OF NEW YORK MELLON CORPORATION","1390777"
"1017006","BOSTON PRIVATE FINANCIAL HOLDINGS, INC.","40821127"
"1017043","CAPITAL ONE FINANCIAL CORPORATION","927628"
"1013863","NORTHSTAR ASSET MANAGEMENT GROUP INC.","1597503"
"1017064","S&P GLOBAL INC.","64040"
"1016898","AMERIPRISE FINANCIAL, INC.","820027"
"1017114","PRUDENTIAL PLC","1116578"
"1017136","FORTRESS INVESTMENT GROUP LLC","1380393"
"1017149","THE BLACKSTONE GROUP L.P.","1393818"
"1017154","THE BLACKSTONE GROUP L.P.","1393818"
"1017157","MANULIFE FINANCIAL CORPORATION","1086888"
"1017413","APOLLO GLOBAL MANAGEMENT, LLC","1411494"
"1017416","APOLLO GLOBAL MANAGEMENT, LLC","1411494"
"1017422","STIFEL FINANCIAL CORP.","720672"
"1017452","UBS GROUP AG","1610520"
"1017488","BANK OF MONTREAL","927971"
"1017501","THE BLACKSTONE GROUP L.P.","1393818"
"1017700","SIGNATURE BANK","5703"
"1006393","WALTER INVESTMENT MANAGEMENT CORP","1040719"
"1014541","PRINCIPAL FINANCIAL GROUP","1126328"
