"FilingID","ReferenceID","Name of Prime Broker","SEC Number","CRD Number","City","State","Country","Custodian"
"990656","66518","JEFFERIES EXECUTION SERVICES, INC.","8-2671","867","NEW YORK","New York","United States","Y"
"990656","66518","PERSHING LLC","8-17574","7560","NEW YORK","New York","United States","Y"
"990656","25063","PERSHING LLC","8-17574","7560","NEW YORK","New York","United States","Y"
"1001441","10584","MORGAN STANLEY & CO. LLC","8-15869","8209","NEW YORK","New York","United States","Y"
"1001441","10582","MORGAN STANLEY & CO. LLC","8-15869","8209","NEW YORK","New York","United States","Y"
"1001441","10564","WEDBUSH SECURITIES INC.","8-12987","877","NEW YORK","New York","United States","Y"
"1001441","53868","MORGAN STANLEY & CO. LLC","8-15869","8209","NEW YORK","New York","United States","Y"
"1001441","50161","MORGAN STANLEY & CO. LLC","8-15869","8209","NEW YORK","New York","United States","Y"
"1001441","10590","MORGAN STANLEY & CO. LLC","8-15869","8209","NEW YORK","New York","United States","Y"
"1001441","10578","WEDBUSH SECURITIES INC.","8-12987","877","NEW YORK","New York","United States","Y"
"1001441","10574","WEDBUSH SECURITIES INC.","8-12987","877","NEW YORK","New York","United States","Y"
"1001441","10535","MORGAN STANLEY & CO. LLC","8-15869","8209","NEW YORK","New York","United States","Y"
"999888","65623","MORGAN STANLEY & CO. LLC","8-15869","8209","DALLAS","Texas","United States","Y"
"1001299","16587","CREDIT SUISSE SECURITIES (EUROPE) LIMITED","","","LONDON","","United Kingdom","Y"
"1001299","16587","BNP PARIBAS PRIME BROKERAGE, INC.","8-40490","24962","NEW YORK","New York","United States","Y"
"1001299","16587","BARCLAYS CAPITAL SECURITIES LIMITED","","","LONDON","","United Kingdom","Y"
"1001299","46768","MERRILL LYNCH PROFESSIONAL CLEARING CORP.","8-33359","16139","NEW YORK","New York","United States","Y"
"1001299","46768","MERRILL LYNCH INTERNATIONAL","","","LONDON","","United Kingdom","Y"
"1001299","16604","CITIGROUP GLOBAL MARKETS INC.","8-8177","7059","NEW YORK","New York","United States","Y"
"1001299","16604","DEUTSCHE BANK AG LONDON BRANCH","","","LONDON","","United Kingdom","Y"
"1001299","16604","CREDIT SUISSE SECURITIES (EUROPE) LIMITED","","","LONDON","","United Kingdom","Y"
"1001299","16590","GOLDMAN SACHS INTERNATIONAL","","","LONDON","","United Kingdom","Y"
"1001299","16587","CITIGROUP GLOBAL MARKETS LIMITED","","","LONDON","","United Kingdom","Y"
"1001299","16590","CREDIT SUISSE SECURITIES (EUROPE) LIMITED","","","LONDON","","United Kingdom","Y"
"1001299","16604","MORGAN STANLEY & CO. LLC","8-15869","8209","NEW YORK","New York","United States","Y"
"1001299","16604","MERRILL LYNCH PROFESSIONAL CLEARING CORP.","8-33359","16139","NEW YORK","New York","United States","Y"
"1001299","16604","MERRILL LYNCH INTERNATIONAL","","","LONDON","","United Kingdom","Y"
"1001299","16604","GOLDMAN, SACHS & CO.","8-129","361","NEW YORK","New York","United States","Y"
"1001299","16604","DEUTSCHE BANK SECURITIES INC.","8-17822","2525","NEW YORK","New York","United States","Y"
"1001299","16604","GOLDMAN SACHS INTERNATIONAL","","","LONDON","","United Kingdom","Y"
"1001299","16590","BNP PARIBAS PRIME BROKERAGE, INC.","8-40490","24962","NEW YORK","New York","United States","Y"
"1001299","16598","MERRILL LYNCH INTERNATIONAL","","","LONDON","","United Kingdom","Y"
"1001299","16604","BNP PARIBAS PRIME BROKERAGE, INC.","8-40490","24962","NEW YORK","New York","United States","Y"
"1001299","16604","CITIGROUP GLOBAL MARKETS LIMITED","","","NEW YORK","New York","United States","Y"
"1001299","64335","CITIGROUP GLOBAL MARKETS LIMITED","","","NEW YORK","New York","United States","Y"
"1001299","64335","CITIGROUP GLOBAL MARKETS INC.","8-8177","7059","NEW YORK","New York","United States","Y"
"1001299","16590","BARCLAYS CAPITAL INC.","8-41342","19714","NEW YORK","New York","United States","Y"
"1001299","46767","CITIGROUP GLOBAL MARKETS INC.","8-8177","7059","NEW YORK","New York","United States","Y"
"1001299","46767","BARCLAYS CAPITAL INC.","8-41342","19714","NEW YORK","New York","United States","Y"
"1001299","16604","CREDIT SUISSE SECURITIES (USA) LLC","8-422","816","NEW YORK","New York","United States","Y"
"1001299","16598","BARCLAYS CAPITAL INC.","8-41342","19714","NEW YORK","New York","United States","Y"
"1001299","16587","CITIGROUP GLOBAL MARKETS INC.","8-8177","7059","NEW YORK","New York","United States","Y"
"1001299","46768","MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED","8-7221","7691","NEW YORK","New York","United States","Y"
"1001299","46768","CITIGROUP GLOBAL MARKETS LIMITED","","","LONDON","","United Kingdom","Y"
"1001299","44749","SG AMERICAS SECURITIES, LLC","8-66125","128351","NEW YORK","New York","United States","Y"
"1001299","16604","HSBC BANK PLC","","","LONDON","","United Kingdom","Y"
"1001299","16587","UBS AG","","","LONDON","","United Kingdom","Y"
"1001299","16587","MERRILL LYNCH PROFESSIONAL CLEARING CORP.","8-33359","16139","NEW YORK","New York","United States","Y"
"1001299","16587","MERRILL LYNCH INTERNATIONAL","","","LONDON","","United Kingdom","Y"
"1001299","16587","J.P. MORGAN CLEARING CORP.","8-43724","28432","NEW YORK","New York","United States","Y"
"1001299","16587","GOLDMAN, SACHS & CO.","8-129","361","NEW YORK","New York","United States","Y"
"1001299","16587","GOLDMAN SACHS INTERNATIONAL","","","LONDON","","United Kingdom","Y"
"1001299","16587","DEUTSCHE BANK SECURITIES INC.","8-17822","2525","NEW YORK","New York","United States","Y"
"1001299","44749","MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED","8-7221","7691","NEW YORK","New York","United States","Y"
"1001299","44749","J.P. MORGAN SECURITIES LLC","8-35008","79","NEW YORK","New York","United States","Y"
