"FilingID","Wrap Fee Program","Sponsor"
"891885","ROUNDANGLE WRAP PROGRAM","ROUNDANGLE ADVISORS LLC"
"877187","VISION INVESTMENT ADVISORS, LLC","VISION INVESTMENT ADVISORS, LLC"
"891876","WEALTHSOURCE I","ONEIDA WEALTH MANAGEMENT INC."
"891876","WEALTHSOURCE II","ONEIDA WEALTH MANAGEMENT INC."
"891876","PILOT PROGRAM","ONEIDA WEALTH MANAGEMENT, INC."
"885256","MANAGED ACCOUNT COMMAND","LOCKWOOD FINANCIAL SERVICES, INC."
"885256","ONLINE MANAGED ACCOUNTS SERVICE","ENVESTNET"
"885256","MANAGER ACCESS PLATFORM","CHARLES SCHWAB"
"885256","MANAGED ACCOUNT MARKETPLACE","CHARLES SCHWAB"
"885256","SEPARATE ACCOUNT MANAGEMENT PROGRAM","DA DAVIDSON"
"885256","WEALTHCENTRAL PLATFORM","FIDELITY"
"885256","KAI CHOICE SMA","KOVACK ADVISORS"
"885256","RGT SMA PLATFORM","ROBERTSON, GRIEGE & THOELE"
"885256","ELLIOTT DAVIS","ELLIOTT DAVIS INVESTMENT ADVISORY SERVICES"
"885256","STIFEL OPPORTUNITY PROGRAM","STIFEL, NICOLAUS & CO., INC."
"885256","INVESTMENT CONSULTING SERVICES","J.P. MORGAN SECURITIES"
"885256","MAC PLATFORM","MORGAN STANLEY WEALTH MANAGEMENT"
"885256","FIDUCIARY ASSET MANAGEMENT PROGRAM","MORGAN STANLEY SMITH BARNEY"
"885256","MANAGED ACCOUNTS","NFP ADVISOR SERVICES"
"885256","MANAGED ACCOUNT SOLUTIONS","PERSHING"
"885256","ENVESTNET PMC PROGRAM","ENVESTNET PMC, INC."
"885256","INVESTMENT CONSULTING SERVICES PROGRAM","LADENBURG THALMANN ASSET MANAGEMENT"
"885256","ELITE MANAGERS PROGRAM","RELIANCE TRUST"
"885256","PREFERRED ADVISOR PROGRAM","NGAM ADVISORS, L.P."
"885256","SEPARATE ACCOUNT WRAP PROGRAM","PONDEROSA WEALTH MANAGEMENT"
"885256","GLOBAL MANAGER STRATEGIES SEPARATE ACCOUNT PROGRAM","GOLDMAN, SACHS & CO."
"885256","AMERIPRISE SELECT SEPARATE ACCOUNT PROGRAM","AMERIPRISE FINANCIAL SERVICES, INC."
"885256","FDX ADVISORS INC.","FOLIO DYNAMIX INC."
"885256","MERRILL LYNCH UMA","MERRILL LYNCH"
"885256","CS FIRST BOSTON","NATIXIS"
"885256","PLACEMARK UMA","PLACEMARK INVESTMENTS"
"885256","STEPHENS UMA","STEPHENS INC."
"885256","IPC UMA","INDEPENDENT PORTFOLIO CONSULTANTS, INC."
"885256","NORTHERN TRUST UMA","NORTHERN TRUST"
"885256","RELIANCE TRUST UMA","RELIANCE TRUST COMPANY"
"885256","FIFTH THIRD BANK IMG UMA","FIFTH THIRD BANK"
"885256","SMARTLEAF UMA","SMARTLEAF ASSET MANAGEMENT"
"885256","PARAMETRIC UMA","PARAMETRIC PORTFOLIO ASSOCIATES"
"868955","MANAGER SELECT PROGRAM","LINSCO/PRIVATE LEDGER CORP."
"868955","CONSULTING & EVALUATION SERVICES","MORGAN STANLEY WEALTH MANAGEMENT"
"868955","FIDUCIARY SERVICES","MORGAN STANLEY WEALTH MANAGEMENT"
"868955","INVESTMENT MANAGER SERVICES","MORGAN STANLEY WEALTH MANAGEMENT"
"868955","PRIVATE ADVISOR NETWORK PROGRAM","WELLS FARGO ADVISORS"
"868955","MANAGED ACCOUNTS COUNSELING PROGRAM (REVIEWED)","UBS FINANCIAL SERVICES, INC."
"868955","MANAGED ACCOUNT UTILITY PROGRAM (MANAGED ACCOUNT COMMAND)","LOCKWOOD ADVISORS, INC."
"868955","CONCORD WRAP FEE PROGRAM","LINSCO/PRIVATE LEDGER"
"868955","ACCESS","CHARLES SCHWAB & CO., INC."
"868955","MANAGED ACCOUNT SERVICE PROGRAM","MERRILL LYNCH, PIERCE, FENNER & SMITH"
"877955","MANAGED ACCOUNT UTILITY PROGRAM (MANAGED ACCOUNT COMMAND)","LOCKWOOD ADVISORS, INC."
"877955","ACCESS","UBS FINANCIAL SERVICES, INC."
"877955","DUAL CONTRACT PROGRAM","BANK OF AMERICA"
"877955","MANAGED ACCOUNTS COUNSELING PROGRAM (REVIEWED)","UBS FINANCIAL SERVICES, INC."
"877955","INVESTMENT MANAGER SERVICES","MORGAN STANLEY"
"877955","FAM","MORGAN STANLEY"
"877955","PRIVATE ADVISOR NETWORK","WELLS FARGO ADVISORS"
"877955","STRATETIC PORTFOLIO ADVISOR","MERRILL LYNCH, PIERCE, FENNER & SMITH"
"877955","STRATEGIC WEALTH PORTFOLIOS","UBS FINANCIAL SERVICES, INC."
"877955","DUAL CONTRACT PROGRAM","DEUTSCHE BANK"
"877955","INVESTMENT MANAGEMENT PROGRAM","ENVESTNET"
"877955","MARKETPLACE","CHARLES SCHWAB & COMPANY, INC."
"877955","UMA","MERRILL LYNCH, PIERCE, FENNER & SMITH"
"877955","SOLUTIONS","RBC DAIN RAUSCHER"
"877955","STIFEL ASSET MANAGEMENT PROGRAM","STIFEL NICOLAUS"
"877955","SELECT","CHARLES SCHWAB & COMPANY, INC."
"877955","ACCESS","CHARLES SCHWAB & COMPANY, INC."
"877955","FIDUCIARY SERVICES","MORGAN STANLEY"
"877955","CONSULTING & EVALUATION SERVICES","MORGAN STANLEY"
"877955","MORGAN STANLEY SELECT UMA","MORGAN STANLEY"
"877955","CITI PRIVATE BANK DAP UMA","CITI BANK"
"877955","RAYMOND JAMES CONSULTING SERVICES","RAYMOND JAMES CONSULTING SERVICES, A DIVISION OF RAYMOND JAMES & ASSOCIATES, INC."
"871089","FIDUCIARY SERVICES","MORGAN STANLEY WEALTH MANAGEMENT"
"871089","INVESTMENT CONSULTING SERVICES PROGRAM","DB ALEX BROWN"
"871089","INVESTMENT MANAGER SERVICES","MORGAN STANLEY WEALTH MANAGEMENT"
"871089","MANAGED UTILITY PROGRAM (MANAGED ACCOUNT COMMAND)","LOCKWOOD ADVISORS, INC."
"871089","PRUDENTIAL INVESTMENTS, LLC PROGRAM","PRUDENTIAL INVESTMENTS, LLC"
"871089","MANAGED ACCOUNT PROGRAM","COMMONWEALTH EQUITY SERVICES, INC. (D/B/A COMMONWEALTH FINANCIAL NETWORK)"
"871089","MANAGER SELECT PROGRAM","LINSCO/PRIVATE LEDGER CORP."
"871089","RAYMOND JAMES CONSULTING SERVICES","RAYMOND JAMES CONSULTING SERVICES, A DIVISION OF RAYMOND JAMES & ASSOCIATES, INC."
"871089","AMERIPRISE PREMIER PORTFOLIO SERVICES","AMERIPRISE FINANCIAL"
"871089","ADVISORY SELECT PROGRAM","DB ALEX BROWN"
"871089","MANAGED ACCOUNT SERVICE","MERRILL LYNCH, PIERCE, FENNER & SMITH INC."
"871089","ENVESTNETPMC PORTFOLIO MANAGEMENT PROGRAM","ENVESTNET ASSET MANAGEMENT, INC."
"871089","CONCORD WRAP FEE PROGRAM","LINSCO/PRIVATE LEDGER"
"871089","MANAGED ACCOUNTS COUNSELING PROGRAM (REVIEWED)","UBS FINANCIAL SERVICES, INC"
"871089","MANAGER ACCESS PROGRAM","BARCLAYS CAPITAL INC."
"871089","CONSULTING & EVALUATION SERVICES","MORGAN STANLEY WEALTH MANAGEMENT"
"871089","PRIVATE ADVISOR NETWORK PROGRAM","WELLS FARGO ADVISORS"
"871089","WELLS FARGO MDP PROGRAM","WELLS FARGO BANK, NATIONAL ASSOCIATION"
"871089","MANAGED ACCOUNT ACCESS","CHARLES SCHWAB & COMPANY INC."
"871089","AMC PREMIER","SUNTRUST INVESTMENT SERVICES, INC."
"871089","ACCESS & SWP","UBS FINANCIAL SERVICES, INC."
"871089","LOCKWOOD ADVISORS MANAGED INVESTMENTS PROGRAM","LOCKWOOD ADVISORS, INC. (FORMERLY PNC MANAGED INVESTMENTS)"
"871089","STRATEGIC WEALTH PORTFOLIOS","UBS FINANCIAL SERVICES, INC."
"871089","PORTFOLIO MANAGER PROGRAM","J.P. MORGAN SECURITIES LLC"
"871089","PNC MANAGED ACCOUNT PROGRAM","PNC BANK, N.A."
"871089","MANAGER SELECT PROGRAM","AXA ADVISORS, LLC"
