"FilingID","ReferenceID","SubreferenceID","Website Address"
"894078","13449","4883","HTTP://WWW.BROOKVINE.COM.AU/1/HOME"
"894078","13461","4889","HTTP://WWW.BROOKVINE.COM.AU/1/HOME"
"894078","13469","4892","HTTP://WWW.BROOKVINE.COM.AU/1/HOME"
"894078","13475","4895","HTTP://WWW.BROOKVINE.COM.AU/1/HOME"
"894078","13482","4899","HTTP://WWW.BROOKVINE.COM.AU/1/HOME"
"894078","13488","4904","HTTP://WWW.BROOKVINE.COM.AU/1/HOME"
"894078","13493","4909","HTTP://WWW.BROOKVINE.COM.AU/1/HOME"
"894078","4060","4924","HTTP://WWW.BROOKVINE.COM.AU/1/HOME"
"894078","4066","4927","HTTP://WWW.BROOKVINE.COM.AU/1/HOME"
"894078","4069","4930","HTTP://WWW.BROOKVINE.COM.AU/1/HOME"
"894078","4070","4934","HTTP://WWW.BROOKVINE.COM.AU/1/HOME"
"884168","7209","2860","WWW.ALFIPARTNERS.COM"
"874970","50782","24630","WWW.FUNDS-INVEST.BAML.COM/"
"874970","50782","26401","WWW.ALFIPARTNERS.COM"
"884471","68137","34735","HTTP://WWW.HSBC.CA"
"884471","45483","22142","HTTP://WWW.ASSETMANAGEMENT.HSBC.COM/UK"
"884471","45483","22143","HTTP://WWW.ASSETMANAGEMENT.HSBC.COM/SG"
"884471","45483","22144","HTTP://WWW.ASSETMANAGEMENT.HSBC.COM/DE"
"884471","44938","21991","HTTP://WWW.ASSETMANAGEMENT.HSBC.COM/UK"
"884471","44930","21988","HTTP://WWW.ASSETMANAGEMENT.HSBC.COM/UK"
"884471","45483","22141","HTTP://WWW.ASSETMANAGEMENT.HSBC.COM/HK"
"884471","57106","28551","HTTP://WWW.ASSETMANAGEMENT.HSBC.COM/UK"
"884471","57106","28552","HTTP://WWW.ASSETMANAGEMENT.HSBC.COM/SG"
"884471","57106","28553","HTTP://WWW.ASSETMANAGEMENT.HSBC.COM/DE"
"884471","57106","28557","HTTP://WWW.ASSETMANAGEMENT.HSBC.COM/HK"
"884471","58371","29254","HTTP://WWW.HSBC.CA"
